Vuln_ID,Brand,ProdType,Category,Price USD,YDif,Protocols,TCPIP,GATT,RF,MTP,DSP,RS232,CCX,APDU,DataStorage,PersonalInfo,Location,Auth-Encryption,CommCap,LTE,DSL,HSPA,GSM,Cellular,BLE,Bluetooth,ISM,LPN,Z-Wave,Lutron,Kidde,NFC,ZigBee,USB,MicroSD,SD Card,e-SATA,CF Card,Smart Card,Serial,UART,Coaxial,Console,Fiber,WiFi,Ethernet,CD/DVD,RFID,Infrared,CVSS,CVSS1,CVSS2,CVSS3,CVSS4,CVSS5
CVE-2017-7726,iSmartAlarm,Smart Alarm,Smart Home,100,2,"TCPIP, RF, MTP",TCPIP,,RF,MTP,,,,,Remote,Yes,Yes,Unknown,"Ethernet, USB, ISM",,,,,,,,ISM,,,,,,,USB,,,,,,,,,,,,Ethernet,,,,7.5,2,4,3,2,3
CVE-2017-7728,iSmartAlarm,Smart Alarm,Smart Home,100,2,"TCPIP, RF, MTP",TCPIP,,RF,MTP,,,,,Remote,Yes,Yes,Unknown,"Ethernet, USB, ISM",,,,,,,,ISM,,,,,,,USB,,,,,,,,,,,,Ethernet,,,,9.8,3,4,4,4,3
CVE-2017-7729,iSmartAlarm,Smart Alarm,Smart Home,100,2,"TCPIP, RF, MTP",TCPIP,,RF,MTP,,,,,Remote,Yes,Yes,Unknown,"Ethernet, USB, ISM",,,,,,,,ISM,,,,,,,USB,,,,,,,,,,,,Ethernet,,,,7.5,2,4,3,2,3
CVE-2017-7730,iSmartAlarm,Smart Alarm,Smart Home,100,2,"TCPIP, RF, MTP",TCPIP,,RF,MTP,,,,,Remote,Yes,Yes,Unknown,"Ethernet, USB, ISM",,,,,,,,ISM,,,,,,,USB,,,,,,,,,,,,Ethernet,,,,7.5,2,4,3,2,3
CVE-2017-8865,CogniToys,Smart Toy,Other,60,1,TCPIP,TCPIP,,,,,,,,Remote,Yes,No,Unknown,WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,,,,,5.9,2,2,2,1,2
CVE-2017-8866,CogniToys,Smart Toy,Other,60,1,TCPIP,TCPIP,,,,,,,,Remote,Yes,No,Unknown,WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,,,,,5.9,2,2,2,1,2
CVE-2017-8867,CogniToys,Smart Toy,Other,60,1,TCPIP,TCPIP,,,,,,,,Remote,Yes,No,Unknown,WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,,,,,5.9,2,2,2,1,2
CVE-2018-0316,Cisco,IP Phone,Telecomm,41,3,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,7.5,2,4,3,2,3
CVE-2018-0325,Cisco,IP Phone,Telecomm,41,3,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,7.5,2,4,3,2,3
CVE-2018-0341,Cisco,IP Phone,Telecomm,41,3,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,Ethernet,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethernet,,,,8.8,3,4,4,3,3
CVE-2018-0404,Cisco,WiFi Router,Telecomm,150,6,TCPIP,TCPIP,,,,,,,,Local,No,No,None,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,7.5,2,4,3,2,3
CVE-2018-0521,Buffalo,WiFi Router,Telecomm,200,4,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,8.8,3,4,4,3,3
CVE-2018-0522,Buffalo,WiFi Router,Telecomm,200,4,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,7.8,3,4,3,2,3
CVE-2018-0523,Buffalo,WiFi Router,Telecomm,200,4,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,8.8,3,4,4,3,3
CVE-2018-0554,Buffalo,WiFi Router,Telecomm,36,0,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,8.8,3,4,4,3,3
CVE-2018-0555,Buffalo,WiFi Router,Telecomm,36,0,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,7.8,3,4,3,2,3
CVE-2018-0556,Buffalo,WiFi Router,Telecomm,36,0,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,8.8,3,4,4,3,3
CVE-2018-0581,ASUS,WiFi Router,Telecomm,199,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,6.1,2,2,2,2,2
CVE-2018-0582,ASUS,WiFi Router,Telecomm,158,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,6.1,2,2,2,2,2
CVE-2018-0583,ASUS,WiFi Router,Telecomm,33,3,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,6.1,2,2,2,2,2
CVE-2018-0625,NEC,WiFi Router,Telecomm,49,1,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,7.2,2,3,2,2,3
CVE-2018-0626,NEC,WiFi Router,Telecomm,49,1,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,7.2,2,3,2,2,3
CVE-2018-0627,NEC,WiFi Router,Telecomm,49,1,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,7.2,2,3,2,2,3
CVE-2018-0628,NEC,WiFi Router,Telecomm,49,1,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,7.2,2,3,2,2,3
